Treatment;Strain;Repetition;Concentration ppm;Replicate;Day;Colony diameter ;CD
Timorex;S20;2;0;3;7;57;52
Timorex;S8;2;0;1;7;54,9;49,9
Timorex;S8;2;0;2;7;55,2;50,2
Timorex;S8;2;0;3;7;56,7;51,7
Timorex;S23;2;1000;1;7;13,8;8,8
Timorex;S23;2;1000;2;7;13,9;8,9
Timorex;S23;2;1000;3;7;14,5;9,5
Timorex;S20;2;1000;1;7;12,9;7,9
Timorex;S20;2;1000;2;7;13,2;8,2
Timorex;S20;2;1000;3;7;12,7;7,7
Timorex;S8;2;1000;1;7;10,8;5,8
Timorex;S8;2;1000;2;7;10,9;5,9
Timorex;S8;2;1000;3;7;11;6
Timorex;S23;2;500;1;7;33,9;28,9
Timorex;S23;2;500;2;7;33,7;28,7
Timorex;S23;2;500;3;7;32,7;27,7
Timorex;S20;2;500;1;7;27,8;22,8
Timorex;S20;2;500;2;7;26,9;21,9
Timorex;S20;2;500;3;7;27;22
Timorex;S8;2;500;1;7;28,9;23,9
Timorex;S8;2;500;2;7;29,2;24,2
Timorex;S8;2;500;3;7;29,7;24,7
Timorex;S23;2;100;1;7;37,8;32,8
Timorex;S23;2;100;2;7;38,9;33,9
Timorex;S23;2;100;3;7;41;36
Timorex;S20;2;100;1;7;34,9;29,9
Timorex;S20;2;100;2;7;34,7;29,7
Timorex;S20;2;100;3;7;32,7;27,7
Timorex;S8;2;100;1;7;36,8;31,8
Timorex;S8;2;100;2;7;32,9;27,9
Timorex;S8;2;100;3;7;34;29
Timorex;S23;2;10;1;7;43,4;38,4
Timorex;S23;2;10;2;7;44,7;39,7
Timorex;S23;2;10;3;7;44,2;39,2
Timorex;S20;2;10;1;7;39,8;34,8
Timorex;S20;2;10;2;7;39,9;34,9
Timorex;S20;2;10;3;7;41;36
Timorex;S8;2;10;1;7;39,9;34,9
Timorex;S8;2;10;2;7;39,2;34,2
Timorex;S8;2;10;3;7;37,7;32,7
Timorex;S23;2;1;1;7;46,8;41,8
Timorex;S23;2;1;2;7;47,9;42,9
Timorex;S23;2;1;3;7;47;42
Timorex;S20;2;1;1;7;42,9;37,9
Timorex;S20;2;1;2;7;42,2;37,2
Timorex;S20;2;1;3;7;40,7;35,7
Timorex;S8;2;1;1;7;40,8;35,8
Timorex;S8;2;1;2;7;39,9;34,9
Timorex;S8;2;1;3;7;40;35
Timorex;S23;2;0,1;1;7;56,9;51,9
Timorex;S23;2;0,1;2;7;58,2;53,2
Timorex;S23;2;0,1;3;7;57,7;52,7
Timorex;S20;2;0,1;1;7;48,8;43,8
Timorex;S20;2;0,1;2;7;50,9;45,9
Timorex;S20;2;0,1;3;7;50;45
Timorex;S8;2;0,1;1;7;48,9;43,9
Timorex;S8;2;0,1;2;7;52,2;47,2
